country,indicator,value,scale,year,region
Montenegro,"Life expectancy at birth, total (years)",75.9317073170732,years,2020,Europe & Central Asia
Mongolia,"Life expectancy at birth, total (years)",70.056,years,2020,East Asia & Pacific
Northern Mariana Islands,"Life expectancy at birth, total (years)",,years,2020,East Asia & Pacific
Mozambique,"Life expectancy at birth, total (years)",61.387,years,2020,Sub-Saharan Africa 
Mauritania,"Life expectancy at birth, total (years)",65.129,years,2020,Sub-Saharan Africa 
Mauritius,"Life expectancy at birth, total (years)",74.1770731707317,years,2020,Sub-Saharan Africa 
Malawi,"Life expectancy at birth, total (years)",64.694,years,2020,Sub-Saharan Africa 
Malaysia,"Life expectancy at birth, total (years)",76.306,years,2020,East Asia & Pacific
Namibia,"Life expectancy at birth, total (years)",64.045,years,2020,Sub-Saharan Africa 
New Caledonia,"Life expectancy at birth, total (years)",77.7711707317073,years,2020,East Asia & Pacific
Niger,"Life expectancy at birth, total (years)",62.792,years,2020,Sub-Saharan Africa 
Nigeria,"Life expectancy at birth, total (years)",55.018,years,2020,Sub-Saharan Africa 
Nicaragua,"Life expectancy at birth, total (years)",74.697,years,2020,Latin America & Caribbean 
Netherlands,"Life expectancy at birth, total (years)",81.409756097561,years,2020,Europe & Central Asia
Norway,"Life expectancy at birth, total (years)",83.209756097561,years,2020,Europe & Central Asia
Nepal,"Life expectancy at birth, total (years)",71.067,years,2020,South Asia
Nauru,"Life expectancy at birth, total (years)",,years,2020,East Asia & Pacific
New Zealand,"Life expectancy at birth, total (years)",82.0560975609756,years,2020,East Asia & Pacific
Oman,"Life expectancy at birth, total (years)",78.078,years,2020,Middle East & North Africa
Pakistan,"Life expectancy at birth, total (years)",67.428,years,2020,South Asia
Panama,"Life expectancy at birth, total (years)",78.68,years,2020,Latin America & Caribbean 
Peru,"Life expectancy at birth, total (years)",76.947,years,2020,Latin America & Caribbean 
Philippines,"Life expectancy at birth, total (years)",71.36,years,2020,East Asia & Pacific
Palau,"Life expectancy at birth, total (years)",,years,2020,East Asia & Pacific
Papua New Guinea,"Life expectancy at birth, total (years)",64.725,years,2020,East Asia & Pacific
Poland,"Life expectancy at birth, total (years)",76.6,years,2020,Europe & Central Asia
Puerto Rico,"Life expectancy at birth, total (years)",80.0874634146342,years,2020,Latin America & Caribbean 
"Korea, Dem. People's Rep.","Life expectancy at birth, total (years)",72.453,years,2020,East Asia & Pacific
Portugal,"Life expectancy at birth, total (years)",80.9756097560976,years,2020,Europe & Central Asia
Paraguay,"Life expectancy at birth, total (years)",74.363,years,2020,Latin America & Caribbean 
French Polynesia,"Life expectancy at birth, total (years)",77.836,years,2020,East Asia & Pacific
Qatar,"Life expectancy at birth, total (years)",80.363,years,2020,Middle East & North Africa
Romania,"Life expectancy at birth, total (years)",74.3536585365854,years,2020,Europe & Central Asia
Russian Federation,"Life expectancy at birth, total (years)",71.3387804878049,years,2020,Europe & Central Asia
Rwanda,"Life expectancy at birth, total (years)",69.329,years,2020,Sub-Saharan Africa 
Saudi Arabia,"Life expectancy at birth, total (years)",75.28,years,2020,Middle East & North Africa
