name,id,region,adminregion,incomeLevel,lendingType,capitalCity
Tanzania,TZA,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Dodoma
Uganda,UGA,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kampala
Ukraine,UKR,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IBRD,Kiev
Uruguay,URY,Latin America & Caribbean ,,High income,IBRD,Montevideo
United States,USA,North America,,High income,Not classified,Washington D.C.
Uzbekistan,UZB,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,Blend,Tashkent
St. Vincent and the Grenadines,VCT,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Kingstown
"Venezuela, RB",VEN,Latin America & Caribbean ,,Not classified,IBRD,Caracas
British Virgin Islands,VGB,Latin America & Caribbean ,,High income,Not classified,Road Town
Virgin Islands (U.S.),VIR,Latin America & Caribbean ,,High income,Not classified,Charlotte Amalie
Vietnam,VNM,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Hanoi
Vanuatu,VUT,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Port-Vila
Samoa,WSM,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Apia
Kosovo,XKX,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IDA,Pristina
"Yemen, Rep.",YEM,Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Sana'a
South Africa,ZAF,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Pretoria
Zambia,ZMB,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lusaka
Zimbabwe,ZWE,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Harare
