country,indicator,value,scale,year,region
St. Vincent and the Grenadines,"Population, total",0.110947,million,2020,Latin America & Caribbean 
"Venezuela, RB","Population, total",28.435943,million,2020,Latin America & Caribbean 
British Virgin Islands,"Population, total",0.030237,million,2020,Latin America & Caribbean 
Virgin Islands (U.S.),"Population, total",0.10629,million,2020,Latin America & Caribbean 
Vietnam,"Population, total",97.338583,million,2020,East Asia & Pacific
Vanuatu,"Population, total",0.30715,million,2020,East Asia & Pacific
Samoa,"Population, total",0.19841,million,2020,East Asia & Pacific
Kosovo,"Population, total",1.790133,million,2020,Europe & Central Asia
"Yemen, Rep.","Population, total",29.825968,million,2020,Middle East & North Africa
South Africa,"Population, total",59.30869,million,2020,Sub-Saharan Africa 
Zambia,"Population, total",18.383956,million,2020,Sub-Saharan Africa 
Zimbabwe,"Population, total",14.862927,million,2020,Sub-Saharan Africa 
